,School,CDS_CODE,ncesId,Latitude,Longitude,public_schools_in_range_gs_weight,public_schools_in_range_ps_weight,public_schools_in_range_total,neighborhood_GS_score,neighborhood_PS_score
55,Downtown Charter Academy,01612590129635,062805013752,37.779542,-122.24027,137271,111011,27755.0,4.945811565483696,3.9996757341019635
56,East Bay Innovation Academy,01612590129932,062805013735,37.746172,-122.14121,39159,55274,14256.0,2.7468434343434343,3.877244668911336
57,Civicorps Elementary,01612590130518,062805005632,37.847128,-122.28359,115435,77719,18319.0,6.301381079753262,4.242535072875157
58,"Oakland Military Institute, College Preparatory Academy",01612590130617,062805010729,37.829395,-122.27234,139200,94225,22949.0,6.065623774456403,4.105843391868927
59,Lighthouse Community Charter,01612590130633,062805010408,37.737050,-122.19663,54984,66042,16360.0,3.360880195599022,4.03679706601467
60,Aspire Lionel Wilson College Preparatory Academy,01612590130666,062805010459,37.729387,-122.18048,50334,65517,16990.0,2.9625662154208356,3.8562095350206005
61,Aspire Triumph Technology Academy,01612590130732,062805010724,37.773956,-122.18252,46086,72354,17590.0,2.6200113700966456,4.11335986355884
62,Castlemont Primary Academy,01612590131672,062805013864,37.758313,-122.16236,40642,63563,15776.0,2.57619168356998,4.029094827586207
63,Roses in Concrete,01612590131896,062805013856,37.785816,-122.18864,69065,86240,21800.0,3.168119266055046,3.9559633027522936
64,Castlemont Junior Academy,01612590131946,062805013889,37.758313,-122.16236,40642,63563,15776.0,2.57619168356998,4.029094827586207
65,Francophone Charter School of Oakland,01612590132514,062805013942,37.751364,-122.15729,45335,64263,16733.0,2.7093169186637183,3.8404948305743143
66,Conservatory of Vocal/Instrumental Arts High,01612590132555,062805013888,37.789553,-122.16561,39300,61196,15274.0,2.5729998690585307,4.006547073458164
67,Lodestar: A Lighthouse Community Charter Public,01612590134015,062805014027,37.734234,-122.17852,50270,67392,17304.0,2.9051086453999075,3.8945908460471568
68,Oakland School for the Arts,01612593030772,062805010461,37.807834,-122.27113,117864,89406,22486.0,5.241661478253135,3.9760740016009963
69,Oakland Charter Academy,01612596111660,062805002893,37.775131,-122.21300,109242,98585,24949.0,4.3786123692332355,3.9514609804000163
70,American Indian Public Charter,01612596113807,062805005673,37.800095,-122.26547,147387,106352,26948.0,5.4693112661422,3.946563752412053
71,Reems (Ernestine C.) Academy of Technology and Art,01612596117394,062805007941,37.760967,-122.16346,37612,62773,15519.0,2.4236097686706617,4.0449126876731745
72,Aspire Monarch Academy,01612596117568,062805008440,37.742304,-122.16833,46013,65393,16959.0,2.7131906362403444,3.855946694970222
73,North Oakland Community Charter,01612596117972,062805008442,37.832839,-122.27624,124488,83559,20470.0,6.081485100146556,4.082022471910112
74,ASCEND,01612596118608,062805008677,37.774031,-122.22166,114477,100620,25356.0,4.514789398958826,3.9682915286322764
75,KIPP Summit Academy,01613090101212,063471011159,37.674319,-122.15009,65313,71945,18326.0,3.56395285386882,3.9258430644985265
76,KIPP King Collegiate High,01613090114421,063471011893,37.674319,-122.15009,65313,71945,18326.0,3.56395285386882,3.9258430644985265
77,Latitude 37.8 High,01771800138289,No Data14257,37.777138,-122.23001,121144,99469,25141.0,4.818583190803866,3.9564456465534388
78,Shenandoah Valley,03100330129692,069100113745,38.483322,-120.83492,0,0,0.0,NA,NA
79,CORE Butte Charter,04100410114991,069100211953,39.705892,-121.78913,8582,6060,1515.0,5.664686468646865,4.0
80,Come Back Butte Charter,04100410134213,069100214048,39.524381,-121.57068,12296,11382,3341.0,3.680335228973361,3.406764441783897
81,Achieve Charter High,04100410136820,069100214213,39.761657,-121.81632,57504,34877,9125.0,6.301808219178082,3.82213698630137
82,Hearthstone School,04100410430090,069100205704,39.525713,-121.57830,12296,11382,3341.0,3.680335228973361,3.406764441783897
83,Nord Country,04614240110551,060837011569,39.780779,-121.95564,0,0,0.0,NA,NA
84,Forest Ranch Charter,04614240118042,060837012233,39.884629,-121.66604,0,0,0.0,NA,NA
85,Inspire School of Arts and Sciences,04614240120394,060837012539,39.735165,-121.84863,63524,40897,10329.0,6.150062929615645,3.9594346016071253
86,Pivot Charter School - North Valley,04614240120576,060837012507,No Data,No Data,0,0,0.0,NA,NA
87,Chico Green,04614240121269,060837012562,39.758400,-121.84278,67802,44462,11042.0,6.140373120811447,4.0266256113023005
