,School,CDS_CODE,ncesId,Latitude,Longitude,public_schools_in_range_gs_weight,public_schools_in_range_ps_weight,public_schools_in_range_total,neighborhood_GS_score,neighborhood_PS_score
705,Valley Prep K-5,19753090130914,060000113817,34.274999,-118.41310,71543,66137,18466.0,3.874309541860717,3.5815552908047223
706,Valley Prep 6-8,19753090130922,060000113827,34.274365,-118.41317,74691,69285,19253.0,3.8794473588531657,3.598659949098842
707,Valiant Academy of Los Angeles,19753090130955,060000113838,34.472692,-118.19658,0,0,0.0,NA,NA
708,"Albert Einstein Academy for Letters, Arts & Sciences - Agua Dulce Partnership Academy",19753090131201,060000113828,34.487360,-118.33414,0,0,0.0,NA,NA
709,SIATech Academy South,19753090131383,060000113829,34.041580,-118.22017,131434,139385,34725.0,3.784996400287977,4.013966882649388
710,Method Schools K-8,19753090131540,060000113867,34.151357,-118.02213,133136,64241,17093.0,7.788919440706722,3.75832212016615
711,Method Schools High,19753090131557,060000113853,34.151357,-118.02213,133136,64241,17093.0,7.788919440706722,3.75832212016615
712,iLEAD Hybrid,19753090131987,060000113859,34.492805,-118.19593,0,0,0.0,NA,NA
713,"Albert Einstein Academy for Letters, Arts and Sciences-STEAM",19753090132191,060000113903,34.390494,-118.54910,20106,8840,2254.0,8.92014196983141,3.9219165927240462
714,Community Collaborative Charter,19753090132654,060000113904,33.141522,-117.16245,52896,29362,7422.0,7.126919967663703,3.9560765292374023
715,"Albert Einstein Academy for Letters, Arts & Sciences - Odyssey",19753090133231,060000113785,34.071847,-118.38524,107684,54281,14550.0,7.400962199312715,3.7306529209621995
716,Pathways Academy Charter Adult Education,19753090134585,060000114062,33.141522,-117.16245,52896,29362,7422.0,7.126919967663703,3.9560765292374023
717,Empower Generations,19753090134619,060000114042,34.669915,-118.13060,19928,34784,10351.0,1.9252246159791324,3.360448265868032
718,Compass Charter Schools of Los Angeles,19753090135145,060000114045,34.155695,-118.83089,39666,17499,5210.0,7.613435700575816,3.35873320537428
719,iLEAD Online,19753090136531,060000114203,34.492805,-118.19593,0,0,0.0,NA,NA
720,Options for Youth-Acton,19753090136648,060000114202,34.063466,-117.42968,0,0,0.0,NA,NA
721,"Method Schools, LA",19753090137703,060000114259,34.151331,-118.02213,133136,64241,17093.0,7.788919440706722,3.75832212016615
722,Mission Academy,19753090137786,060000114230,34.472904,-118.19668,0,0,0.0,NA,NA
723,iLead Agua Dulce,19753090138297,060000114324,34.487679,-118.33247,0,0,0.0,NA,NA
724,New West Charter,19756636120158,No Data11208,34.035653,-118.45535,163931,94210,22366.0,7.329473307699186,4.21219708486095
725,School of Arts and Enterprise,19756971996693,No Data11207,34.060297,-117.75028,120306,111244,28755.0,4.183828899321857,3.8686837071813596
726,Doris Topsy-Elvord Academy,19765210117390,060133312363,33.863666,-118.15129,214905,162255,45012.0,4.774393495067982,3.6047054118901625
727,Today's Fresh Start Charter,19767370102020,060140711336,34.002174,-118.33095,59165,82305,23775.0,2.488538380651945,3.4618296529968453
728,Da Vinci Science,19768690119016,060142812208,33.917908,-118.38408,206412,141675,34293.0,6.019070947423672,4.131309596710699
729,Da Vinci Design,19768690119636,060142812410,33.919064,-118.37438,215602,150600,36876.0,5.84667534439744,4.083957045232672
730,Da Vinci Connect,19768690128728,060142813702,33.908788,-118.37759,260587,163719,40142.0,6.491629714513477,4.078496338000099
731,Da Vinci Communications,19768690131128,060142813832,33.917773,-118.38398,206412,141675,34293.0,6.019070947423672,4.131309596710699
732,RISE High,19768690135988,060142814167,33.908904,-118.37765,260587,163719,40142.0,6.491629714513477,4.078496338000099
733,Anahuacalmecac International University Preparatory of North America,19768850130799,No Data12271,34.085085,-118.18154,150275,101822,25797.0,5.82528976237547,3.9470481063689578
734,Academia Avance Charter,19769680109926,No Data10895,34.107288,-118.19842,116710,74603,18682.0,6.247189808371695,3.993309067551654
735,Prepa Tec Los Angeles High,19769920133900,No Data13997,33.978427,-118.19221,208155,196082,55877.0,3.725235785743687,3.509171931206042
736,Celerity Rolas Charter,19770730135947,060144812120,34.139635,-118.19738,81820,48903,12088.0,6.768696227663799,4.045582395764394
737,ISANA Himalia Academy,19770810135954,No Data12162,33.996155,-118.27794,116287,164666,46662.0,2.492113497063992,3.528910033860529
738,Madera County Independent Academy,20102070117184,069101712301,36.952870,-120.03709,0,0,0.0,NA,NA
739,Pioneer Technical Center,20102072030229,069101710539,36.953111,-120.03458,0,0,0.0,NA,NA
740,Yosemite-Wawona Elementary Charter,20651850129015,060408013800,37.548419,-119.64216,0,0,0.0,NA,NA
741,Sherman Thomas Charter,20652430100016,062334011160,36.984119,-120.06699,0,0,0.0,NA,NA
742,Ezequiel Tafoya Alvarado Academy,20652430107938,062334010951,36.986956,-120.06964,0,0,0.0,NA,NA
743,Sherman Thomas Charter High,20652430118950,062334012209,36.982895,-120.07114,0,0,0.0,NA,NA
744,Sherman Thomas STEM Academy,20652430134510,062334014101,36.982843,-120.06665,0,0,0.0,NA,NA
745,Minarets Charter High,20756060125021,060011613035,37.128282,-119.69431,0,0,0.0,NA,NA
746,Chawanakee Academy Charter,20756060132936,060011607170,37.123746,-119.73094,0,0,0.0,NA,NA
747,Glacier High School Charter,20764142030237,060016010541,37.348619,-119.64223,0,0,0.0,NA,NA
748,Mountain Home Charter (Alternative),20764146110076,060016010251,37.348619,-119.64223,0,0,0.0,NA,NA
749,Phoenix Academy,21102152130102,069101804617,38.013710,-122.55017,0,0,0.0,NA,NA
750,Novato Charter,21654176113229,062772006035,38.055720,-122.52616,0,0,0.0,NA,NA
751,Willow Creek Academy Charter,21654746118491,063600008732,37.864108,-122.50086,0,0,0.0,NA,NA
752,Ross Valley Charter,21770650135350,No Data14064,37.989788,-122.59033,0,0,0.0,NA,NA
753,Sierra Foothill Charter,22655320125823,062394013041,37.423761,-120.10132,0,0,0.0,NA,NA
754,Pacific Community Charter,23655576116669,060309008155,38.914396,-123.70071,0,0,0.0,NA,NA
755,Three Rivers Charter,23655650123737,061407012818,39.422077,-123.81137,0,0,0.0,NA,NA
756,Eel River Charter,23656072330272,063372003304,39.794030,-123.24974,0,0,0.0,NA,NA
757,River Oak Charter,23656150115055,064030012026,39.146812,-123.20136,0,0,0.0,NA,NA
758,Redwood Academy of Ukiah,23656152330413,064030008520,39.164319,-123.21025,0,0,0.0,NA,NA
759,Accelerated Achievement Academy,23656152330454,064030010552,39.162023,-123.20958,0,0,0.0,NA,NA
760,Tree of Life Charter,23656156117386,064030008521,39.167503,-123.20590,0,0,0.0,NA,NA
761,La Vida Charter,23656230112300,064256011686,39.379296,-123.34026,0,0,0.0,NA,NA
762,Willits Elementary Charter,23656230125658,064256013021,39.412172,-123.34759,0,0,0.0,NA,NA
763,Willits Charter,23656232330363,064256008213,39.396601,-123.34940,0,0,0.0,NA,NA
764,Merced Scholars Charter,24102490106518,069102010960,37.294487,-120.50890,0,0,0.0,NA,NA
765,Come Back Charter,24102490138032,069102014312,37.297120,-120.48848,0,0,0.0,NA,NA
766,Ballico-Cressey Community Charter,24656496025381,060375000344,37.454290,-120.70092,0,0,0.0,NA,NA
767,Green Valley Charter,24657550125575,062274013026,37.066809,-120.83795,0,0,0.0,NA,NA
768,Urban Corps of San Diego County Charter,26102640124990,069105212994,32.755229,-117.20342,0,0,0.0,NA,NA
769,Orange County Conservation Corps Charter,26102640126698,069105213123,33.868356,-117.89989,0,0,0.0,NA,NA
770,Monterey Bay Charter,27102720112177,069102111695,36.605372,-121.92925,0,0,0.0,NA,NA
771,Bay View Academy,27102720124297,069102112864,36.601262,-121.86627,0,0,0.0,NA,NA
772,Millennium Charter High,27102720125765,069102113148,36.653081,-121.63877,0,0,0.0,NA,NA
773,Monterey County Home Charter,27102722730232,069102108529,36.654240,-121.63786,0,0,0.0,NA,NA
774,Oasis Charter Public,27659616119663,060195010558,36.704495,-121.66818,0,0,0.0,NA,NA
775,Uplift Monterey,27659790135111,060573014013,34.069036,-117.54899,7480,5984,1496.0,5.0,4.0
776,Uplift California South Charter,27659790136010,060573014153,34.069036,-117.54899,7480,5984,1496.0,5.0,4.0
777,Uplift California North Charter,27659790136218,060573014149,34.069036,-117.54899,7480,5984,1496.0,5.0,4.0
778,South Monterey County Charter Independent Study Program,27660680123216,061965012744,36.321479,-121.24398,0,0,0.0,NA,NA
779,Pinnacle Academy Charter - Independent Study,27660680134254,061965014041,36.208934,-121.13286,0,0,0.0,NA,NA
780,Learning for Life Charter,27660922730240,062553010560,36.673435,-121.76393,0,0,0.0,NA,NA
781,International School of Monterey,27660926118962,062553008744,36.612323,-121.82801,0,0,0.0,NA,NA
782,Big Sur Charter,27751500118349,060003112240,36.611364,-121.89833,0,0,0.0,NA,NA
783,Stone Bridge,28662660108605,062664010975,38.243854,-122.32142,0,0,0.0,NA,NA
784,Napa Valley Language Academy,28662666026983,062664004039,38.296236,-122.30593,0,0,0.0,NA,NA
785,Los Angeles Education Corps Charter,29102980112375,069102311699,34.022942,-118.26980,66782,92581,27440.0,2.4337463556851313,3.3739431486880465
786,Twin Ridges Home Study Charter,29102980114298,069102311877,39.248139,-121.01597,0,0,0.0,NA,NA
787,Forest Charter,29102980114306,069102311839,39.263735,-121.01828,0,0,0.0,NA,NA
788,Bitney Prep High,29102980114314,069102311975,39.232960,-121.04158,0,0,0.0,NA,NA
789,Yuba River Charter,29102980114322,069102311992,39.226365,-121.08278,0,0,0.0,NA,NA
790,Nevada City School of the Arts,29102980114330,069102311940,39.254576,-121.14668,0,0,0.0,NA,NA
791,Sierra Montessori Academy,29102980114975,069102311840,39.073935,-121.11273,0,0,0.0,NA,NA
792,Forest Charter,29102980126219,069102311839,39.255887,-121.02284,0,0,0.0,NA,NA
793,Twin Ridges Home Study Charter,29102980126227,069102311877,39.248010,-121.01630,0,0,0.0,NA,NA
794,EPIC de Cesar Chavez,29102980130823,069102313819,35.131700,-118.44649,16872,9474,3582.0,4.710217755443886,2.644891122278057
795,John Muir Charter,29102982930147,069102308230,39.248581,-121.01671,0,0,0.0,NA,NA
796,Chicago Park Community Charter,29663160125013,060834013003,39.144182,-120.97739,0,0,0.0,NA,NA
797,Grass Valley Charter,29663326111140,061578002267,39.215289,-121.06076,0,0,0.0,NA,NA
798,Nevada City Charter,29663406112593,062682003350,39.253726,-121.03085,0,0,0.0,NA,NA
799,Sierra Academy of Expeditionary Learning,29663570124834,062688012922,39.265183,-121.01890,0,0,0.0,NA,NA
800,Arete Charter Academy,29663730136424,063093014123,39.051179,-121.07043,0,0,0.0,NA,NA
801,Union Hill Elementary,29664076027197,064038006681,39.204457,-121.03829,0,0,0.0,NA,NA
802,Union Hill Charter Home,29664076113088,064038006087,39.204457,-121.03829,0,0,0.0,NA,NA
803,Vantage Point Charter,29768776111371,060142702295,39.191442,-121.18132,0,0,0.0,NA,NA
804,Samueli Academy,30103060126037,069102413076,33.761943,-117.90181,138600,93890,25586.0,5.417024935511608,3.669584929258188
805,Vista Heritage Global Academy,30103060132613,069102413905,33.749193,-117.90283,184902,129260,34119.0,5.419326474984612,3.7885049385972627
806,College and Career Preparatory Academy,30103060132910,069102413959,33.732426,-117.84433,29802,39232,9488.0,3.1410202360876895,4.134907251264756
807,Oxford Preparatory Academy - Saddleback Valley,30103060133785,069102414001,33.628723,-117.70070,0,0,0.0,NA,NA
808,Unity Middle College High,30103060133959,069102414191,33.788296,-117.87360,25161,15445,4419.0,5.693822131704006,3.495134645847477
809,Ednovate - Legacy College Prep.,30103060133983,069102414046,33.759574,-117.84695,4094,6585,1317.0,3.108580106302202,5.0
810,Orange County Academy of Sciences and Arts,30103060134056,069102400688,33.535895,-117.69646,0,0,0.0,NA,NA
811,EPIC Charter (Excellence Performance Innovation Citizenship),30103060134239,069102414018,33.835368,-117.91327,14577,12257,3640.0,4.00467032967033,3.3673076923076923
812,Scholarship Prep,30103060134288,069102414060,33.759698,-117.87825,50858,56053,13530.0,3.7589061345158905,4.1428677014042865
813,Orange County Workforce Innovation High,30103060134841,069102414040,33.837906,-117.94187,35983,28750,8668.0,4.151245962159668,3.3167974157821876
814,Citrus Springs Charter,30103060134940,069102414034,33.764821,-117.85091,2920,3650,730.0,4.0,5.0
815,Vista Condor Global Academy,30103060137000,069102414372,33.749206,-117.90253,184902,129260,34119.0,5.419326474984612,3.7885049385972627
816,Tomorrow's Leadership Collaborative (TLC) Charter,30103060137976,069102414331,33.794651,-117.84137,0,0,0.0,NA,NA
817,GOALS Academy,30664230131417,060261013858,33.850107,-117.92323,9212,6909,2303.0,4.0,3.0
818,Palm Lane Elementary Charter,30664236027379,060261000162,33.815700,-117.93810,109153,63240,19199.0,5.685348195218501,3.293921558414501
819,California Connections Academy Southern California,30664640106765,060744010983,33.476809,-117.67191,0,0,0.0,NA,NA
820,Community Roots Academy,30664640123729,060744012651,33.535895,-117.69646,0,0,0.0,NA,NA
821,Oxford Preparatory Academy - South Orange County,30664640124743,060744012855,33.628683,-117.65943,0,0,0.0,NA,NA
822,Journey,30664646117758,060744008542,33.568628,-117.71890,0,0,0.0,NA,NA
823,Opportunities for Learning - Capistrano,30664646120356,060744011221,33.497979,-117.65952,0,0,0.0,NA,NA
824,Kinetic Academy,30665300134221,061803014050,33.676205,-117.99011,166739,76506,19858.0,8.396565615872696,3.8526538422801893
825,Santiago Middle,30666216085328,062865004450,33.795260,-117.80126,0,0,0.0,NA,NA
826,El Rancho Charter,30666216094874,062865004426,33.857359,-117.76634,0,0,0.0,NA,NA
827,Edward B. Cole Academy,30666700101626,063531011223,33.744474,-117.86417,64973,69865,16984.0,3.8255416862929814,4.113577484691475
828,Nova Academy Early College High,30666700106567,063531010989,33.747652,-117.87308,84567,85824,21154.0,3.997683653209795,4.057105039236078
829,Orange County Educational Arts Academy,30666700109066,063531010992,33.752488,-117.86969,63664,67430,16133.0,3.946197235480072,4.179631810574598
830,Advanced Learning Academy,30666700132852,063531013951,33.795111,-117.85060,0,0,0.0,NA,NA
831,Advanced Learning Academy,30666700135897,063531014192,33.795093,-117.85013,0,0,0.0,NA,NA
832,OCSA,30666703030723,063531008546,33.754066,-117.86760,45310,56942,13511.0,3.353563762859892,4.214491895492562
833,El Sol Santa Ana Science and Arts Academy,30666706119127,063531008755,33.754150,-117.87084,45310,56942,13511.0,3.353563762859892,4.214491895492562
834,Magnolia Science Academy Santa Ana,30768930130765,No Data12419,33.744677,-117.90799,200464,136632,35962.0,5.574328457816584,3.7993437517379456
835,CORE Placer Charter,31103140119214,069102512392,39.090228,-120.95309,0,0,0.0,NA,NA
836,Placer County Pathways Charter,31103140126904,069102513072,38.906555,-121.08139,0,0,0.0,NA,NA
837,Bowman Charter,31667616031009,060168000037,38.935007,-121.05517,0,0,0.0,NA,NA
838,Alta Vista Community Charter,31667870126664,060348013170,38.909600,-121.06262,0,0,0.0,NA,NA
839,Milestones Cooperative Charter,31668370122515,061398012646,39.021085,-120.81252,0,0,0.0,NA,NA
840,Loomis Basin Charter,31668450117150,062256012246,38.789642,-121.17012,0,0,0.0,NA,NA
841,Newcastle Charter,31668520109827,062712011001,38.871296,-121.13632,0,0,0.0,NA,NA
842,Creekside Charter,31668520120105,062712012515,39.198800,-120.23954,0,0,0.0,NA,NA
843,Harvest Ridge Cooperative Charter,31668520121608,062712012790,38.874076,-121.13578,0,0,0.0,NA,NA
844,Newcastle Virtual Learning Academy,31668520126680,062712013129,38.874792,-121.13404,0,0,0.0,NA,NA
845,Squaw Valley Preparatory,31668520127902,062712013495,39.198800,-120.23954,0,0,0.0,NA,NA
846,Rocklin Academy Gateway,31668520127928,062712013641,38.803824,-121.29862,0,0,0.0,NA,NA
847,California Pacific Charter Schools-Newcastle (CalPac-Newcastle),31668520128751,062712013689,33.659663,-117.86665,79621,39924,11068.0,7.1938019515721,3.6071557643657393
848,Golden Valley Tahoe,31668520138008,062712014371,39.281338,-120.11991,0,0,0.0,NA,NA
849,Weimar Hills Charter,31668860122531,063072012722,39.044980,-120.97817,0,0,0.0,NA,NA
850,Sierra Hills Arts and Sciences Charter Academy,31668860122648,063072012821,38.991369,-121.02411,0,0,0.0,NA,NA
851,Maidu Virtual Charter Academy,31668940138081,063075014310,38.896096,-121.06856,1200,900,300.0,4.0,3.0
852,Century High School An Integrated Global Studies Academy,31669280135285,063363014155,38.723720,-121.29270,42626,31486,8474.0,5.030210054283692,3.7156006608449377
853,Sierra Expeditionary Learning,31669440121624,063877012628,39.324670,-120.21083,0,0,0.0,NA,NA
854,Partnerships for Student-Centered Learning,31669510122507,064214012754,38.897444,-121.33550,0,0,0.0,NA,NA
855,John Adams Academy - Lincoln,31669510135871,064214014071,38.881547,-121.26908,0,0,0.0,NA,NA
856,Horizon Charter,31669513130168,064214003557,38.897444,-121.33550,0,0,0.0,NA,NA
857,Rocklin Academy at Meyers Street,31750850114371,060001312012,38.791104,-121.22901,9342,4698,1038.0,9.0,4.526011560693641
858,Maria Montessori Charter Academy,31750850117879,060001312302,38.785900,-121.24930,9342,4698,1038.0,9.0,4.526011560693641
859,Western Sierra Collegiate Academy,31750850119487,060001312390,38.811611,-121.29815,0,0,0.0,NA,NA
860,Rocklin Independent Charter Academy,31750850128561,060001313722,38.815769,-121.25442,0,0,0.0,NA,NA
861,Placer Academy Charter,31750850137927,060001314215,38.805258,-121.27046,0,0,0.0,NA,NA
862,Rocklin Academy,31750856118392,060001308762,38.804021,-121.28632,0,0,0.0,NA,NA
863,Plumas Charter,32669693230083,063117007601,39.937730,-120.93891,0,0,0.0,NA,NA
864,River Springs Charter,33103300110833,069102611707,33.511615,-117.15768,0,0,0.0,NA,NA
865,Riverside County Education Academy,33103300125237,069102612986,33.921220,-117.22635,0,0,0.0,NA,NA
866,"Imagine Schools, Riverside County",33103300125385,069102612985,33.680571,-116.20767,38087,37462,9689.0,3.9309526266900607,3.8664464857054393
867,Come Back Kids,33103300128397,069102613694,33.978895,-117.38041,0,0,0.0,NA,NA
868,Gateway College and Career Academy,33103300128777,069102613730,33.971569,-117.38467,0,0,0.0,NA,NA
869,Riverside County Education Academy - Indio,33103300134320,069102614007,33.726206,-116.20141,37863,36266,9478.0,3.994830132939439,3.826334669761553
870,Temecula International Academy,33103300136168,069102614131,33.526844,-117.11309,0,0,0.0,NA,NA
871,Pivot Charter School Riverside,33103300137836,069102614240,33.877901,-117.64907,0,0,0.0,NA,NA
872,Julia Lee Performing Arts Academy,33103300137851,069102614343,33.620937,-117.31017,0,0,0.0,NA,NA
873,Excelsior Charter School Corona-Norco,33103300137869,069102614354,33.865167,-117.55489,0,0,0.0,NA,NA
874,Journey,33103300138024,069102614358,33.918610,-117.21681,0,0,0.0,NA,NA
875,JCS - Pine Hills,33103300138602,069102614346,33.481208,-117.13814,0,0,0.0,NA,NA
876,Highland Academy,33669930127142,060429013150,33.931603,-116.98283,0,0,0.0,NA,NA
877,George Washington Charter,33670586031959,061111001234,33.716093,-116.37375,0,0,0.0,NA,NA
878,Palm Desert Charter Middle,33670586031991,061111001231,33.733468,-116.37035,0,0,0.0,NA,NA
879,Hemet Academy for Applied Academics and Technology,33670820115162,061692011869,33.738082,-116.93682,0,0,0.0,NA,NA
880,Western Center Academy,33670820120675,061692012464,33.706832,-116.99217,0,0,0.0,NA,NA
881,College Prep High,33670820128363,061692013707,33.738082,-116.93682,0,0,0.0,NA,NA
882,Santa Rosa Academy,33671160109843,062454011023,33.677653,-117.17632,0,0,0.0,NA,NA
883,Moreno Valley Community Learning Center,33671243330685,062580003589,33.910034,-117.23480,0,0,0.0,NA,NA
884,Mosaica Online Academy of Southern California,33671570120279,062778012445,33.501427,-117.16646,0,0,0.0,NA,NA
885,Pivot Charter School Riverside II,33671570125245,062778013025,33.820085,-117.13078,0,0,0.0,NA,NA
886,Excel Prep Charter - IE,33671570125666,062778013024,33.918324,-117.21699,0,0,0.0,NA,NA
887,Nuview Bridge Early College High,33671573331014,062778010350,33.821611,-117.13113,0,0,0.0,NA,NA
888,Father's Heart Charter,33671730124313,062955012889,No Data,No Data,0,0,0.0,NA,NA
889,Cielo Vista Charter,33671736032411,062955004562,33.814013,-116.50171,0,0,0.0,NA,NA
890,Scale Leadership Academy - East,33671810138610,062964014356,33.612576,-114.59586,0,0,0.0,NA,NA
891,Innovative Horizons Charter,33671996105571,063018008940,33.799923,-117.23475,0,0,0.0,NA,NA
892,California Military Institute,33672070101170,063021011184,33.794308,-117.23474,0,0,0.0,NA,NA
893,Choice 2000 On-Line,33672073330693,063021003605,33.792564,-117.23476,0,0,0.0,NA,NA
894,Gateway to College Early College High,33672150106526,063315011030,33.971325,-117.38471,0,0,0.0,NA,NA
895,REACH Leadership STEAM Academy,33672150126128,063315013116,33.980154,-117.33525,0,0,0.0,NA,NA
896,Encore High School for the Arts - Riverside,33672150132498,063315013908,33.981601,-117.37432,0,0,0.0,NA,NA
897,San Jacinto Valley Academy,33672496114748,063444007219,33.793862,-116.95894,0,0,0.0,NA,NA
898,NOVA Academy - Coachella,33736760121673,060907012684,33.663070,-116.18966,20520,16297,4941.0,4.1530054644808745,3.2983201781015987
899,Sycamore Academy of Science and Cultural Arts,33751760120204,060002712433,33.584000,-117.24782,0,0,0.0,NA,NA
900,Southern California Online Academy,33751760124859,060002712914,33.682028,-117.33579,0,0,0.0,NA,NA
901,Keegan Academy,33751920121251,060002812568,33.498862,-117.16128,0,0,0.0,NA,NA
902,"Context: Middle School, Temecula",33751920123232,060002812778,No Data,No Data,0,0,0.0,NA,NA
903,Temecula Preparatory,33751923330917,060002808564,33.604240,-117.08570,0,0,0.0,NA,NA
904,Temecula Valley Charter,33751926112551,060002803648,33.604230,-117.08575,0,0,0.0,NA,NA
905,Baypoint Preparatory Academy,33769430132522,No Data13941,33.743482,-116.95511,0,0,0.0,NA,NA
906,Fortune,34103480124651,069102712959,38.501215,-121.43140,35087,44389,11205.0,3.1313699241410085,3.9615350290049087
907,Fortune,34103480136275,069102714070,38.502296,-121.42945,35087,44389,11205.0,3.1313699241410085,3.9615350290049087
908,California Montessori Project - Elk Grove Campus,34673140111732,061233011727,38.408943,-121.37487,0,0,0.0,NA,NA
909,SAVA - Sacramento Academic and Vocational Academy - EGUSD,34673140137281,061233014368,38.426659,-121.46097,0,0,0.0,NA,NA
910,Elk Grove Charter,34673146112254,061233008275,38.391350,-121.43717,0,0,0.0,NA,NA
911,Alpha Charter,34673220127860,061260013554,38.731208,-121.46668,0,0,0.0,NA,NA
912,Folsom Cordova K-8 Community Charter,34673300106757,061389011068,38.544593,-121.28913,20674,14915,3711.0,5.57100511991377,4.01913230935058
913,Delta Elementary Charter,34674130114660,063311012128,38.417508,-121.52795,0,0,0.0,NA,NA
914,Paseo Grande Charter,34674210132019,063324013882,38.663167,-121.44705,3050,6137,1810.0,1.6850828729281768,3.39060773480663
915,National University Academy Robla,34674210132639,063324013909,38.645817,-121.48835,13591,18064,5568.0,2.440912356321839,3.2442528735632186
916,Marconi Learning Academy,34674210137950,063324014360,38.617579,-121.40410,11861,22365,6698.0,1.7708271125709167,3.339056434756644
917,St. HOPE Public School 7,34674390101048,063384011199,38.528059,-121.46718,87333,83611,21026.0,4.153571768286883,3.9765528393417675
918,Sol Aureus College Preparatory,34674390101295,063384011198,38.508152,-121.52724,26162,21942,6012.0,4.35163007318696,3.6497005988023954
919,New Technology High,34674390101881,063384011196,38.518550,-121.50396,69914,64412,16938.0,4.127641988428386,3.8028102491439366
920,George Washington Carver School of Arts and Science,34674390101899,063384011195,38.564091,-121.31790,31080,26317,6667.0,4.661766911654417,3.9473526323683816
921,The MET,34674390101907,063384011194,38.567383,-121.50133,84863,62594,17141.0,4.95087801178461,3.6517122688291233
922,Sacramento Charter High,34674390102038,063384011190,38.556111,-121.46615,85803,68301,17452.0,4.916513866605547,3.913648865459546
923,Aspire Capitol Heights Academy,34674390102343,063384011189,38.555242,-121.46993,88624,68266,17646.0,5.022328006347047,3.8686387849937662
924,The Language Academy of Sacramento,34674390106898,063384011076,38.548777,-121.45136,87452,70768,18102.0,4.831068390233123,3.909402275991603
925,California Montessori Project - Capitol Campus,34674390111757,063384011732,38.553783,-121.40019,38390,37704,9896.0,3.879345189975748,3.8100242522231205
926,Yav Pem Suab Academy - Preparing for the Future Charter,34674390121665,063384012652,38.488504,-121.52501,6405,8675,2181.0,2.936726272352132,3.977533241632279
927,Capitol Collegiate Academy,34674390123901,063384012810,38.480413,-121.49331,13158,17784,4407.0,2.9857045609257997,4.035398230088496
928,Oak Park Preparatory Academy,34674390125591,063384012998,38.556111,-121.46615,85803,68301,17452.0,4.916513866605547,3.913648865459546
929,New Joseph Bonnheim (NJB) Community Charter,34674390131136,063384005261,38.533147,-121.41792,45285,48116,12179.0,3.7182855735282043,3.9507348715001234
930,Growth Public,34674390135343,063384014124,38.562263,-121.35311,14383,15320,3768.0,3.817144373673036,4.065817409766455
931,SAVA - Sacramento Academic and Vocational Academy - SCUSD,34674390137406,063384014224,38.526859,-121.40977,36784,37719,9722.0,3.7835836247685664,3.879757251594322
932,NorCal Trade and Tech,34674390137844,063384014272,38.516154,-121.46378,68492,68856,17827.0,3.842037359062097,3.8624558254333317
933,Bowling Green Elementary,34674396033799,063384005224,38.501745,-121.45799,47204,48756,12802.0,3.687236369317294,3.808467426964537
934,California Montessori Project-San Juan Campuses,34674470112169,063462011733,38.635424,-121.34037,15839,12214,2987.0,5.302644794107801,4.089052561098092
935,Golden Valley River,34674470114983,063462011902,38.673662,-121.19522,104699,52687,13531.0,7.737713398861873,3.8937994235459317
936,Aspire Alexander Twilight College Preparatory Academy,34674470120469,063462012449,38.610710,-121.40807,19210,27802,7881.0,2.437507930465677,3.527724908006598
937,Aspire Alexander Twilight Secondary Academy,34674470121467,063462012785,38.610710,-121.40807,19210,27802,7881.0,2.437507930465677,3.527724908006598
938,Gateway International,34674470128124,063462013656,38.581843,-121.39171,26806,25472,6646.0,4.033403551008125,3.832681312067409
939,Golden Valley Orchard,34674470132399,063462013910,38.685046,-121.21448,88711,48858,12493.0,7.100856479628592,3.910830064836308
940,Atkinson Academy Charter,34674470133975,063462014017,38.631551,-121.35429,670,1675,335.0,2.0,5.0
941,Options for Youth-San Juan,34674473430691,063462008578,38.648260,-121.32883,10978,8165,2098.0,5.232602478551001,3.891801715919924
942,Visions In Education,34674473430717,063462008283,38.609400,-121.34676,25585,24119,5985.0,4.2748538011695905,4.029908103592314
943,San Juan Choices Charter,34674473430758,063462008284,38.604561,-121.35898,22500,24406,5755.0,3.909643788010426,4.240834057341442
944,Global Youth Charter,34739730106377,060790011081,38.720219,-121.38590,0,0,0.0,NA,NA
945,Antelope View Charter,34739733430816,060790008581,38.720219,-121.38590,0,0,0.0,NA,NA
946,Westlake Charter,34752830108860,060003611087,38.676198,-121.52671,0,0,0.0,NA,NA
947,Natomas Pacific Pathways Prep,34752830112425,060003611735,38.655557,-121.54634,0,0,0.0,NA,NA
948,Natomas Pacific Pathways Prep Middle,34752830120113,060003612523,38.655557,-121.54634,0,0,0.0,NA,NA
949,Westlake Charter Middle,34752830124594,060003612980,38.621320,-121.50553,19635,26647,8138.0,2.41275497665274,3.2743917424428606
950,Leroy Greene Academy,34752830126060,060003613189,38.610463,-121.52724,17102,22720,6912.0,2.474247685185185,3.287037037037037
951,Natomas Pacific Pathways Prep Elementary,34752830134049,060003614043,38.651680,-121.52512,8699,11981,3511.0,2.4776416975220736,3.412418114497294
952,Natomas Charter,34752833430659,060003607250,38.656562,-121.49500,11210,14827,4489.0,2.4972154154600132,3.3029627979505456
953,Community Outreach Academy,34765050101766,060133211200,38.669812,-121.38487,0,0,0.0,NA,NA
954,Futures High,34765050101832,060133211070,38.651018,-121.44300,11670,14664,4403.0,2.650465591642062,3.3304565069270953
955,Heritage Peak Charter,34765050108415,060133211073,38.611336,-121.43262,25693,33072,9277.0,2.769537566023499,3.5649455642988035
