,School,School,School,School,School,School,location_home,location_home,location_home,location_home,location_home,location_home,Latitude,Latitude,Latitude,Latitude,Latitude,Latitude,Longitude,Longitude,Longitude,Longitude,Longitude,Longitude,predicted_survival,predicted_survival,predicted_survival,predicted_survival,predicted_survival,predicted_survival,Safe,Safe,Safe,Safe,Safe,Safe,ANN_TOTAL_ENROLL,ANN_TOTAL_ENROLL,ANN_TOTAL_ENROLL,ANN_TOTAL_ENROLL,ANN_TOTAL_ENROLL,ANN_TOTAL_ENROLL,Distance,Distance,Distance,Distance,Distance,Distance
Indexi,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5
67,"Method Schools, LA",California School of the Arts - San Gabriel Valley,Pacific Coast Academy,Alma Fuerte Public,OCS - South,Celerity Rolas Charter,"(34.151331, -118.02213)","(34.136932, -117.96885)","(34.139356, -117.96756)","(34.197588, -118.1485)","(34.170745, -118.16168)","(34.139635, -118.19738)",34.151331,34.136932,34.139356,34.197588,34.170745,34.139635,-118.02213,-117.96885,-117.96756,-118.1485,-118.16168,-118.19738,0.47326335,0.9655623,0.9168613,0.93924475,0.9581269,0.88409173,Risky,Safe,Safe,Safe,Safe,Safe,26.0,406.0,627.0,73.0,144.0,309.0,0.0,3.2106200113849512,3.234347904159112,7.910419355746859,8.106949863057517,10.075387636331396
68,Community Collaborative Virtual - Sage Oak Charter,Baypoint Preparatory Academy - San Diego,Pivot Charter School - San Diego II,Community Montessori,Community Collaborative Virtual - Keppel Partnership Academy,Classical Academy Vista,"(33.141522, -117.16245)","(33.137364, -117.19122)","(33.124043, -117.20913)","(33.129426, -117.11209)","(33.104181, -117.21885)","(33.165025, -117.27027)",33.141522,33.137364,33.124043,33.129426,33.104181,33.165025,-117.16245,-117.19122,-117.20913,-117.11209,-117.21885,-117.27027,0.71602404,0.9586507,0.9586507,0.9620292,0.8509858,0.9247852,Risky,Safe,Safe,Safe,Safe,Safe,232.0,88.0,115.0,705.0,99.0,507.0,0.0,1.6924497811704746,2.962537712804748,3.0365428841667814,4.1615521189686495,6.456624084746324
69,Options for Youth-Acton,Mojave River Academy - Gold Canyon,Vista Norte Public Charter,California Academy of Sports Science Fresno,Mojave River Academy - National Trails,Savant Preparatory Academy of Business,"(34.063466, -117.42968)","(34.091743, -117.47154)","(34.12271, -117.36715)","(34.069036, -117.54899)","(34.056436, -117.31027)","(34.129176, -117.25633)",34.063466,34.091743,34.12271,34.069036,34.056436,34.129176,-117.42968,-117.47154,-117.36715,-117.54899,-117.31027,-117.25633,0.84931237,0.94299734,0.83642715,0.80295205,0.9581269,0.81790024,Safe,Safe,Safe,Safe,Safe,Safe,394.0,111.0,392.0,36.0,351.0,57.0,0.0,3.0923090755510803,5.434228828493123,6.85445727226672,6.867056493667386,10.923143033999931
70,Sherman Thomas STEM Academy,Crescent View South II,Career Technical Education Charter,Kepler Neighborhood,Ambassador Phillip V. Sanchez II Public Charter,Come Back Charter,"(36.982843, -120.06665)","(36.808335, -119.87032)","(36.760027, -119.77896)","(36.73799, -119.79595)","(36.727417, -119.80366)","(37.29712, -120.48848)",36.982843,36.808335,36.760027,36.73799,36.727417,37.29712,-120.06665,-119.87032,-119.77896,-119.79595,-119.80366,-120.48848,0.94299734,0.9459435,0.9725681,0.9770835,0.83642715,0.94299734,Safe,Safe,Safe,Safe,Safe,Safe,74.0,584.0,62.0,380.0,190.0,19.0,0.0,16.21862485297714,22.138515650790076,22.584581480246488,22.860664627251705,31.81253786551362
71,Ross Valley Charter,Invictus Academy of Richmond,Voices College-Bound Language Academy at West Contra Costa County,REALM Charter,KIPP Bayview Elementary,MIT Griffin Academy Middle,"(37.989788, -122.59033)","(37.985734, -122.30765)","(37.997474, -122.30217)","(37.867407, -122.29489)","(37.734437, -122.38079)","(38.14812, -122.24922)",37.989788,37.985734,37.997474,37.867407,37.734437,38.14812,-122.59033,-122.30765,-122.30217,-122.29489,-122.38079,-122.24922,0.8998847,0.980271,0.9693067,0.96599644,0.9480095,0.980271,Safe,Safe,Safe,Safe,Safe,Safe,127.0,78.0,133.0,383.0,70.0,136.0,0.0,15.432793067970646,15.737066348008252,18.213522256443458,21.010063946243946,21.568047059782455
72,Come Back Charter,Sherman Thomas STEM Academy,Aspire University Charter,Connecting Waters Charter School - Central Valley,Crescent View South II,Career Technical Education Charter,"(37.29712, -120.48848)","(36.982843, -120.06665)","(37.618789, -121.00358)","(37.670894, -121.02788)","(36.808335, -119.87032)","(36.760027, -119.77896)",37.29712,36.982843,37.618789,37.670894,36.808335,36.760027,-120.48848,-120.06665,-121.00358,-121.02788,-119.87032,-119.77896,0.94299734,0.94299734,0.9540428,0.9586507,0.9459435,0.9725681,Safe,Safe,Safe,Safe,Safe,Safe,19.0,74.0,355.0,321.0,584.0,62.0,0.0,31.81253786551362,35.972352043785364,39.28340983531132,47.99393401851196,53.94979975483828
73,Arete Charter Academy,Maidu Virtual Charter Academy,John Adams Academy - Lincoln,Placer Academy Charter,Century High School An Integrated Global Studies Academy,Buckeye Union Mandarin Immersion Charter,"(39.051179, -121.07043)","(38.896096, -121.06856)","(38.881547, -121.26908)","(38.805258, -121.27046)","(38.72372, -121.2927)","(38.664207, -121.05926)",39.051179,38.896096,38.881547,38.805258,38.72372,38.664207,-121.07043,-121.06856,-121.26908,-121.27046,-121.2927,-121.05926,0.70529926,0.95162386,0.9586507,0.8060674,0.5731901,0.94657284,Risky,Safe,Safe,Safe,Risky,Safe,11.0,93.0,177.0,358.0,15.0,42.0,0.0,10.69833330335257,15.854565581285675,20.098153133212932,25.569977470338998,26.70017872895101
74,Pivot Charter School - North Bay,West County Charter Middle,California STEAM Sonoma II,Ross Valley Charter,MIT Griffin Academy Middle,Voices College-Bound Language Academy at West Contra Costa County,"(38.465996, -122.72881)","(38.47332, -122.88807)","(38.511197, -122.99636)","(37.989788, -122.59033)","(38.14812, -122.24922)","(37.997474, -122.30217)",38.465996,38.47332,38.511197,37.989788,38.14812,37.997474,-122.72881,-122.88807,-122.99636,-122.59033,-122.24922,-122.30217,0.9586507,0.9586507,0.8509858,0.8998847,0.980271,0.9693067,Safe,Safe,Safe,Safe,Safe,Safe,357.0,74.0,16.0,127.0,136.0,133.0,0.0,8.650899365269344,14.835842429461234,33.69839676139792,34.05992787656264,39.787183215512115
75,Vista Condor Global Academy,Unity Middle College High,Tomorrow's Leadership Collaborative (TLC) Charter,Pivot Charter School Riverside,Ingenium Wings Independent Study - Compton,Soleil Academy Charter,"(33.749206, -117.90253)","(33.788296, -117.8736)","(33.794651, -117.84137)","(33.877901, -117.64907)","(33.893146, -118.21542)","(33.917011, -118.2018)",33.749206,33.788296,33.794651,33.877901,33.893146,33.917011,-117.90253,-117.8736,-117.84137,-117.64907,-118.21542,-118.2018,0.9354742,0.97680116,0.9071579,0.9586507,0.9725681,0.9351719,Safe,Safe,Safe,Safe,Safe,Safe,132.0,44.0,58.0,125.0,30.0,91.0,0.0,3.167227885869773,4.7119519897528965,17.067489886940102,20.55200733965395,20.737730256480226
76,Unity Middle College High,Tomorrow's Leadership Collaborative (TLC) Charter,Vista Condor Global Academy,Pivot Charter School Riverside,Excelsior Charter School Corona-Norco,Allegiance STEAM Academy - Thrive,"(33.788296, -117.8736)","(33.794651, -117.84137)","(33.749206, -117.90253)","(33.877901, -117.64907)","(33.865167, -117.55489)","(34.01595, -117.67707)",33.788296,33.794651,33.749206,33.877901,33.865167,34.01595,-117.8736,-117.84137,-117.90253,-117.64907,-117.55489,-117.67707,0.97680116,0.9071579,0.9354742,0.9586507,0.9480095,0.96749496,Safe,Safe,Safe,Safe,Safe,Safe,44.0,58.0,132.0,125.0,82.0,473.0,0.0,1.905696248753706,3.167227885869773,14.315042623822517,19.082898447171797,19.33301517762365
77,Tomorrow's Leadership Collaborative (TLC) Charter,Unity Middle College High,Vista Condor Global Academy,Pivot Charter School Riverside,Excelsior Charter School Corona-Norco,Allegiance STEAM Academy - Thrive,"(33.794651, -117.84137)","(33.788296, -117.8736)","(33.749206, -117.90253)","(33.877901, -117.64907)","(33.865167, -117.55489)","(34.01595, -117.67707)",33.794651,33.788296,33.749206,33.877901,33.865167,34.01595,-117.84137,-117.8736,-117.90253,-117.64907,-117.55489,-117.67707,0.9071579,0.97680116,0.9354742,0.9586507,0.9480095,0.96749496,Safe,Safe,Safe,Safe,Safe,Safe,58.0,44.0,132.0,125.0,82.0,473.0,0.0,1.905696248753706,4.7119519897528965,12.45989904502556,17.17993476443347,17.93863380130287
78,Maidu Virtual Charter Academy,Arete Charter Academy,John Adams Academy - Lincoln,Placer Academy Charter,Buckeye Union Mandarin Immersion Charter,Century High School An Integrated Global Studies Academy,"(38.896096, -121.06856)","(39.051179, -121.07043)","(38.881547, -121.26908)","(38.805258, -121.27046)","(38.664207, -121.05926)","(38.72372, -121.2927)",38.896096,39.051179,38.881547,38.805258,38.664207,38.72372,-121.06856,-121.07043,-121.26908,-121.27046,-121.05926,-121.2927,0.95162386,0.70529926,0.9586507,0.8060674,0.94657284,0.5731901,Safe,Risky,Safe,Safe,Safe,Risky,93.0,11.0,177.0,358.0,42.0,15.0,0.0,10.69833330335257,10.856774751148276,12.564470326707985,16.003401469730736,16.962310168645956
79,Placer Academy Charter,John Adams Academy - Lincoln,Century High School An Integrated Global Studies Academy,Maidu Virtual Charter Academy,Marconi Learning Academy,Buckeye Union Mandarin Immersion Charter,"(38.805258, -121.27046)","(38.881547, -121.26908)","(38.72372, -121.2927)","(38.896096, -121.06856)","(38.617579, -121.4041)","(38.664207, -121.05926)",38.805258,38.881547,38.72372,38.896096,38.617579,38.664207,-121.27046,-121.26908,-121.2927,-121.06856,-121.4041,-121.05926,0.8060674,0.9586507,0.5731901,0.95162386,0.93835765,0.94657284,Safe,Safe,Risky,Safe,Safe,Safe,358.0,177.0,15.0,93.0,237.0,42.0,0.0,5.262939186581254,5.751225297682137,12.564470326707985,14.824281968159628,14.995512935669757
80,Golden Valley Tahoe,Arete Charter Academy,Maidu Virtual Charter Academy,Buckeye Union Mandarin Immersion Charter,John Adams Academy - Lincoln,Clarksville Charter,"(39.281338, -120.11991)","(39.051179, -121.07043)","(38.896096, -121.06856)","(38.664207, -121.05926)","(38.881547, -121.26908)","(38.6232, -121.05792)",39.281338,39.051179,38.896096,38.664207,38.881547,38.6232,-120.11991,-121.07043,-121.06856,-121.05926,-121.26908,-121.05792,0.8763995,0.70529926,0.95162386,0.94657284,0.9586507,0.8618939,Safe,Risky,Safe,Safe,Safe,Safe,34.0,11.0,93.0,42.0,177.0,679.0,0.0,53.45582437316249,57.507491881119755,66.11120345942524,67.66051001360994,67.92412337128934
81,Century High School An Integrated Global Studies Academy,Placer Academy Charter,Marconi Learning Academy,John Adams Academy - Lincoln,Growth Public,Buckeye Union Mandarin Immersion Charter,"(38.72372, -121.2927)","(38.805258, -121.27046)","(38.617579, -121.4041)","(38.881547, -121.26908)","(38.562263, -121.35311)","(38.664207, -121.05926)",38.72372,38.805258,38.617579,38.881547,38.562263,38.664207,-121.2927,-121.27046,-121.4041,-121.26908,-121.35311,-121.05926,0.5731901,0.8060674,0.93835765,0.9586507,0.96599644,0.94657284,Risky,Safe,Safe,Safe,Safe,Safe,15.0,358.0,237.0,177.0,112.0,42.0,0.0,5.751225297682137,9.481126434864342,10.961221664919238,11.606486566700141,13.270265488758083
82,John Adams Academy - Lincoln,Placer Academy Charter,Maidu Virtual Charter Academy,Century High School An Integrated Global Studies Academy,Arete Charter Academy,Buckeye Union Mandarin Immersion Charter,"(38.881547, -121.26908)","(38.805258, -121.27046)","(38.896096, -121.06856)","(38.72372, -121.2927)","(39.051179, -121.07043)","(38.664207, -121.05926)",38.881547,38.805258,38.896096,38.72372,39.051179,38.664207,-121.26908,-121.27046,-121.06856,-121.2927,-121.07043,-121.05926,0.9586507,0.8060674,0.95162386,0.5731901,0.70529926,0.94657284,Safe,Safe,Safe,Risky,Risky,Safe,177.0,358.0,93.0,15.0,11.0,42.0,0.0,5.262939186581254,10.856774751148276,10.961221664919238,15.854565581285675,18.79167073076738
83,Elite Academic Academy - Lucerne,JCS - Pine Hills,Julia Lee Performing Arts Academy,Vista Springs Charter,Scholarship Prep - Oceanside,Coastal Academy Charter,"(33.50021, -117.1611)","(33.481208, -117.13814)","(33.620937, -117.31017)","(33.220678, -117.23443)","(33.232373, -117.317)","(33.206522, -117.29292)",33.50021,33.481208,33.620937,33.220678,33.232373,33.206522,-117.1611,-117.13814,-117.31017,-117.23443,-117.317,-117.29292,0.8509858,0.96749496,0.9581269,0.92616135,0.9586507,0.9247852,Safe,Safe,Safe,Safe,Safe,Safe,107.0,709.0,166.0,156.0,236.0,1914.0,0.0,1.8635610462866636,11.967024441143472,19.725714277396193,20.54246460739873,21.628310992026755
84,Pivot Charter School Riverside,Excelsior Charter School Corona-Norco,Allegiance STEAM Academy - Thrive,Tomorrow's Leadership Collaborative (TLC) Charter,Unity Middle College High,California Academy of Sports Science Fresno,"(33.877901, -117.64907)","(33.865167, -117.55489)","(34.01595, -117.67707)","(33.794651, -117.84137)","(33.788296, -117.8736)","(34.069036, -117.54899)",33.877901,33.865167,34.01595,33.794651,33.788296,34.069036,-117.64907,-117.55489,-117.67707,-117.84137,-117.8736,-117.54899,0.9586507,0.9480095,0.96749496,0.9071579,0.97680116,0.80295205,Safe,Safe,Safe,Safe,Safe,Safe,125.0,82.0,473.0,58.0,44.0,36.0,0.0,5.485220780947192,9.64978042466726,12.45989904502556,14.315042623822517,14.37267892258913
85,Julia Lee Performing Arts Academy,Elite Academic Academy - Lucerne,JCS - Pine Hills,Excelsior Charter School Corona-Norco,Pivot Charter School Riverside,Scholarship Prep - Oceanside,"(33.620937, -117.31017)","(33.50021, -117.1611)","(33.481208, -117.13814)","(33.865167, -117.55489)","(33.877901, -117.64907)","(33.232373, -117.317)",33.620937,33.50021,33.481208,33.865167,33.877901,33.232373,-117.31017,-117.1611,-117.13814,-117.55489,-117.64907,-117.317,0.9581269,0.8509858,0.96749496,0.9480095,0.9586507,0.9586507,Safe,Safe,Safe,Safe,Safe,Safe,166.0,107.0,709.0,82.0,125.0,236.0,0.0,11.967024441143472,13.83051122437851,21.95163066549391,26.35057968537849,26.781794513382344
86,Excelsior Charter School Corona-Norco,Pivot Charter School Riverside,Allegiance STEAM Academy - Thrive,California Academy of Sports Science Fresno,Options for Youth-Acton,Mojave River Academy - Gold Canyon,"(33.865167, -117.55489)","(33.877901, -117.64907)","(34.01595, -117.67707)","(34.069036, -117.54899)","(34.063466, -117.42968)","(34.091743, -117.47154)",33.865167,33.877901,34.01595,34.069036,34.063466,34.091743,-117.55489,-117.64907,-117.67707,-117.54899,-117.42968,-117.47154,0.9480095,0.9586507,0.96749496,0.80295205,0.84931237,0.94299734,Safe,Safe,Safe,Safe,Safe,Safe,82.0,125.0,473.0,36.0,394.0,111.0,0.0,5.485220780947192,12.540523462148847,14.055471106820173,15.443644371789302,16.33337212690412
87,JCS - Pine Hills,Elite Academic Academy - Lucerne,Julia Lee Performing Arts Academy,Vista Springs Charter,Scholarship Prep - Oceanside,Coastal Academy Charter,"(33.481208, -117.13814)","(33.50021, -117.1611)","(33.620937, -117.31017)","(33.220678, -117.23443)","(33.232373, -117.317)","(33.206522, -117.29292)",33.481208,33.50021,33.620937,33.220678,33.232373,33.206522,-117.13814,-117.1611,-117.31017,-117.23443,-117.317,-117.29292,0.96749496,0.8509858,0.9581269,0.92616135,0.9586507,0.9247852,Safe,Safe,Safe,Safe,Safe,Safe,709.0,107.0,166.0,156.0,236.0,1914.0,0.0,1.8635610462866636,13.83051122437851,18.79877079178575,20.027181593240094,20.940768558273145
88,Scale Leadership Academy - East,Juan Bautista de Anza Charter,JCS - Pine Valley,Diego Valley East Public Charter,JCS - Pine Hills,Audeo Charter School III,"(33.612576, -114.59586)","(33.256549, -116.3782)","(32.821998, -116.52871)","(32.800703, -116.93542)","(33.481208, -117.13814)","(33.070485, -117.06492)",33.612576,33.256549,32.821998,32.800703,33.481208,33.070485,-114.59586,-116.3782,-116.52871,-116.93542,-117.13814,-117.06492,0.81790024,0.9515662,0.8998847,0.87997556,0.96749496,0.57588476,Safe,Safe,Safe,Safe,Safe,Risky,65.0,25.0,127.0,552.0,709.0,88.0,0.0,105.86951269647724,124.51219320525912,146.62775152854647,146.9858581257195,147.62216633275318
89,Mojave River Academy - Route 66,Alta Vista Innovation High,Mojave River Academy - Oro Grande,Mojave River Academy - Rockview Park,Mojave River Academy - Marble City,Entrepreneur High,"(34.521162, -117.30394)","(34.468832, -117.29311)","(34.50735, -117.39253)","(34.427772, -117.34751)","(34.426946, -117.56549)","(34.134826, -117.22279)",34.521162,34.468832,34.50735,34.427772,34.426946,34.134826,-117.30394,-117.29311,-117.39253,-117.34751,-117.56549,-117.22279,0.9586507,0.87858117,0.9618655,0.9480095,0.9515662,0.9586507,Safe,Safe,Safe,Safe,Safe,Safe,330.0,975.0,552.0,111.0,94.0,218.0,0.0,3.6596530213279257,5.143559178426354,6.901078393216036,16.28166121847602,27.030537925075386
90,SAVA - Sacramento Academic and Vocational Academy - EGUSD,NorCal Trade and Tech,SAVA - Sacramento Academic and Vocational Academy - SCUSD,Washington Middle College High,Growth Public,Marconi Learning Academy,"(38.426659, -121.46097)","(38.516154, -121.46378)","(38.526859, -121.40977)","(38.569912, -121.53426)","(38.562263, -121.35311)","(38.617579, -121.4041)",38.426659,38.516154,38.526859,38.569912,38.562263,38.617579,-121.46097,-121.46378,-121.40977,-121.53426,-121.35311,-121.4041,0.9586507,0.7603792,0.9670794,0.97680116,0.96599644,0.93835765,Safe,Risky,Safe,Safe,Safe,Safe,316.0,48.0,534.0,46.0,112.0,237.0,0.0,6.174848713868889,7.448072146784797,10.649719729459767,11.030506893231166,13.524686862611592
91,Marconi Learning Academy,Growth Public,SAVA - Sacramento Academic and Vocational Academy - SCUSD,NorCal Trade and Tech,Washington Middle College High,Century High School An Integrated Global Studies Academy,"(38.617579, -121.4041)","(38.562263, -121.35311)","(38.526859, -121.40977)","(38.516154, -121.46378)","(38.569912, -121.53426)","(38.72372, -121.2927)",38.617579,38.562263,38.526859,38.516154,38.569912,38.72372,-121.4041,-121.35311,-121.40977,-121.46378,-121.53426,-121.2927,0.93835765,0.96599644,0.9670794,0.7603792,0.97680116,0.5731901,Safe,Safe,Safe,Risky,Safe,Risky,237.0,112.0,534.0,48.0,46.0,15.0,0.0,4.709371329024218,6.2650992050074015,7.706401761693159,7.7754086693818065,9.481126434864342
92,SAVA - Sacramento Academic and Vocational Academy - SCUSD,NorCal Trade and Tech,Growth Public,Marconi Learning Academy,Washington Middle College High,SAVA - Sacramento Academic and Vocational Academy - EGUSD,"(38.526859, -121.40977)","(38.516154, -121.46378)","(38.562263, -121.35311)","(38.617579, -121.4041)","(38.569912, -121.53426)","(38.426659, -121.46097)",38.526859,38.516154,38.562263,38.617579,38.569912,38.426659,-121.40977,-121.46378,-121.35311,-121.4041,-121.53426,-121.46097,0.9670794,0.7603792,0.96599644,0.93835765,0.97680116,0.9586507,Safe,Risky,Safe,Safe,Safe,Safe,534.0,48.0,112.0,237.0,46.0,316.0,0.0,3.0183928041419468,3.9222668749320078,6.2650992050074015,7.368261617562377,7.448072146784797
93,Growth Public,SAVA - Sacramento Academic and Vocational Academy - SCUSD,Marconi Learning Academy,NorCal Trade and Tech,Washington Middle College High,SAVA - Sacramento Academic and Vocational Academy - EGUSD,"(38.562263, -121.35311)","(38.526859, -121.40977)","(38.617579, -121.4041)","(38.516154, -121.46378)","(38.569912, -121.53426)","(38.426659, -121.46097)",38.562263,38.526859,38.617579,38.516154,38.569912,38.426659,-121.35311,-121.40977,-121.4041,-121.46378,-121.53426,-121.46097,0.96599644,0.9670794,0.93835765,0.7603792,0.97680116,0.9586507,Safe,Safe,Safe,Risky,Safe,Safe,112.0,534.0,237.0,48.0,46.0,316.0,0.0,3.9222668749320078,4.709371329024218,6.786832762032506,9.824238994483041,11.030506893231166
94,NorCal Trade and Tech,SAVA - Sacramento Academic and Vocational Academy - SCUSD,Washington Middle College High,SAVA - Sacramento Academic and Vocational Academy - EGUSD,Growth Public,Marconi Learning Academy,"(38.516154, -121.46378)","(38.526859, -121.40977)","(38.569912, -121.53426)","(38.426659, -121.46097)","(38.562263, -121.35311)","(38.617579, -121.4041)",38.516154,38.526859,38.569912,38.426659,38.562263,38.617579,-121.46378,-121.40977,-121.53426,-121.46097,-121.35311,-121.4041,0.7603792,0.9670794,0.97680116,0.9586507,0.96599644,0.93835765,Risky,Safe,Safe,Safe,Safe,Safe,48.0,534.0,46.0,316.0,112.0,237.0,0.0,3.0183928041419468,5.322290870347529,6.174848713868889,6.786832762032506,7.706401761693159
95,Mojave River Academy - Rockview Park,Alta Vista Innovation High,Mojave River Academy - Oro Grande,Mojave River Academy - Route 66,Mojave River Academy - Marble City,Vista Norte Public Charter,"(34.427772, -117.34751)","(34.468832, -117.29311)","(34.50735, -117.39253)","(34.521162, -117.30394)","(34.426946, -117.56549)","(34.12271, -117.36715)",34.427772,34.468832,34.50735,34.521162,34.426946,34.12271,-117.34751,-117.29311,-117.39253,-117.30394,-117.56549,-117.36715,0.9480095,0.87858117,0.9618655,0.9586507,0.9515662,0.83642715,Safe,Safe,Safe,Safe,Safe,Safe,111.0,975.0,552.0,330.0,94.0,392.0,0.0,4.202327099189304,6.057523273825618,6.901078393216036,12.450310821625202,21.057039034075476
96,Alta Vista Innovation High,Mojave River Academy - Route 66,Mojave River Academy - Rockview Park,Mojave River Academy - Oro Grande,Mojave River Academy - Marble City,Entrepreneur High,"(34.468832, -117.29311)","(34.521162, -117.30394)","(34.427772, -117.34751)","(34.50735, -117.39253)","(34.426946, -117.56549)","(34.134826, -117.22279)",34.468832,34.521162,34.427772,34.50735,34.426946,34.134826,-117.29311,-117.30394,-117.34751,-117.39253,-117.56549,-117.22279,0.87858117,0.9586507,0.9480095,0.9618655,0.9515662,0.9586507,Safe,Safe,Safe,Safe,Safe,Safe,975.0,330.0,111.0,552.0,94.0,218.0,0.0,3.6596530213279257,4.202327099189304,6.264801754821771,15.819192090696854,23.37090623148432
97,Allegiance STEAM Academy - Thrive,California Academy of Sports Science Fresno,Pivot Charter School Riverside,Excelsior Charter School Corona-Norco,Mojave River Academy - Gold Canyon,Options for Youth-Acton,"(34.01595, -117.67707)","(34.069036, -117.54899)","(33.877901, -117.64907)","(33.865167, -117.55489)","(34.091743, -117.47154)","(34.063466, -117.42968)",34.01595,34.069036,33.877901,33.865167,34.091743,34.063466,-117.67707,-117.54899,-117.64907,-117.55489,-117.47154,-117.42968,0.96749496,0.80295205,0.9586507,0.9480095,0.94299734,0.84931237,Safe,Safe,Safe,Safe,Safe,Safe,473.0,36.0,125.0,82.0,111.0,394.0,0.0,8.209298124688328,9.64978042466726,12.540523462148847,12.896470485657865,14.567771845933244
98,Mojave River Academy - National Trails,Vista Norte Public Charter,Savant Preparatory Academy of Business,Options for Youth-Acton,Entrepreneur High,Mojave River Academy - Gold Canyon,"(34.056436, -117.31027)","(34.12271, -117.36715)","(34.129176, -117.25633)","(34.063466, -117.42968)","(34.134826, -117.22279)","(34.091743, -117.47154)",34.056436,34.12271,34.129176,34.063466,34.134826,34.091743,-117.31027,-117.36715,-117.25633,-117.42968,-117.22279,-117.47154,0.9581269,0.83642715,0.81790024,0.84931237,0.9586507,0.94299734,Safe,Safe,Safe,Safe,Safe,Safe,351.0,392.0,57.0,394.0,218.0,111.0,0.0,5.6129513194346075,5.890951168362504,6.867056493667386,7.372570563146242,9.564463347072259
99,Vista Norte Public Charter,Options for Youth-Acton,Mojave River Academy - National Trails,Mojave River Academy - Gold Canyon,Savant Preparatory Academy of Business,Entrepreneur High,"(34.12271, -117.36715)","(34.063466, -117.42968)","(34.056436, -117.31027)","(34.091743, -117.47154)","(34.129176, -117.25633)","(34.134826, -117.22279)",34.12271,34.063466,34.056436,34.091743,34.129176,34.134826,-117.36715,-117.42968,-117.31027,-117.47154,-117.25633,-117.22279,0.83642715,0.84931237,0.9581269,0.94299734,0.81790024,0.9586507,Safe,Safe,Safe,Safe,Safe,Safe,392.0,394.0,351.0,111.0,57.0,218.0,0.0,5.434228828493123,5.6129513194346075,6.354197832086422,6.367859793832594,8.316529343056244
100,Mojave River Academy - Gold Canyon,Options for Youth-Acton,California Academy of Sports Science Fresno,Vista Norte Public Charter,Mojave River Academy - National Trails,Savant Preparatory Academy of Business,"(34.091743, -117.47154)","(34.063466, -117.42968)","(34.069036, -117.54899)","(34.12271, -117.36715)","(34.056436, -117.31027)","(34.129176, -117.25633)",34.091743,34.063466,34.069036,34.12271,34.056436,34.129176,-117.47154,-117.42968,-117.54899,-117.36715,-117.31027,-117.25633,0.94299734,0.84931237,0.80295205,0.83642715,0.9581269,0.81790024,Safe,Safe,Safe,Safe,Safe,Safe,111.0,394.0,36.0,392.0,351.0,57.0,0.0,3.0923090755510803,4.709505240005408,6.354197832086422,9.564463347072259,12.605044205233124
101,Mojave River Academy - Oro Grande,Mojave River Academy - Route 66,Mojave River Academy - Rockview Park,Alta Vista Innovation High,Mojave River Academy - Marble City,Vista Norte Public Charter,"(34.50735, -117.39253)","(34.521162, -117.30394)","(34.427772, -117.34751)","(34.468832, -117.29311)","(34.426946, -117.56549)","(34.12271, -117.36715)",34.50735,34.521162,34.427772,34.468832,34.426946,34.12271,-117.39253,-117.30394,-117.34751,-117.29311,-117.56549,-117.36715,0.9618655,0.9586507,0.9480095,0.87858117,0.9515662,0.83642715,Safe,Safe,Safe,Safe,Safe,Safe,552.0,330.0,111.0,975.0,94.0,392.0,0.0,5.143559178426354,6.057523273825618,6.264801754821771,11.323171263740708,26.551987103505738
102,Mojave River Academy - Silver Mountain,Mojave River Academy - Route 66,Alta Vista Innovation High,Mojave River Academy - Oro Grande,Mojave River Academy - Rockview Park,Mojave River Academy - Marble City,"(34.89294, -117.0539)","(34.521162, -117.30394)","(34.468832, -117.29311)","(34.50735, -117.39253)","(34.427772, -117.34751)","(34.426946, -117.56549)",34.89294,34.521162,34.468832,34.50735,34.427772,34.426946,-117.0539,-117.30394,-117.29311,-117.39253,-117.34751,-117.56549,0.9515662,0.9586507,0.87858117,0.9618655,0.9480095,0.9515662,Safe,Safe,Safe,Safe,Safe,Safe,363.0,330.0,975.0,552.0,111.0,94.0,0.0,29.314775211109186,32.25203529023133,32.83461553834053,36.16360494871437,43.368891202552994
103,Mojave River Academy - Marble City,Mojave River Academy - Oro Grande,Mojave River Academy - Rockview Park,Alta Vista Innovation High,Mojave River Academy - Route 66,Mojave River Academy - Gold Canyon,"(34.426946, -117.56549)","(34.50735, -117.39253)","(34.427772, -117.34751)","(34.468832, -117.29311)","(34.521162, -117.30394)","(34.091743, -117.47154)",34.426946,34.50735,34.427772,34.468832,34.521162,34.091743,-117.56549,-117.39253,-117.34751,-117.29311,-117.30394,-117.47154,0.9515662,0.9618655,0.9480095,0.87858117,0.9586507,0.94299734,Safe,Safe,Safe,Safe,Safe,Safe,94.0,552.0,111.0,975.0,330.0,111.0,0.0,11.323171263740708,12.450310821625202,15.819192090696854,16.28166121847602,23.721878118073864
