,School,School,School,School,School,School,location_home,location_home,location_home,location_home,location_home,location_home,Latitude,Latitude,Latitude,Latitude,Latitude,Latitude,Longitude,Longitude,Longitude,Longitude,Longitude,Longitude,predicted_survival,predicted_survival,predicted_survival,predicted_survival,predicted_survival,predicted_survival,Safe,Safe,Safe,Safe,Safe,Safe,ANN_TOTAL_ENROLL,ANN_TOTAL_ENROLL,ANN_TOTAL_ENROLL,ANN_TOTAL_ENROLL,ANN_TOTAL_ENROLL,ANN_TOTAL_ENROLL,Distance,Distance,Distance,Distance,Distance,Distance
Indexi,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5,0,1,2,3,4,5
19,Northern United - Humboldt Charter,Stellar Charter,Phoenix Charter Academy,PACE Academy Charter,Tree of Life International Charter,Northern United - Siskiyou Charter,"(40.758299, -124.14839)","(40.530906, -122.37241)","(40.575795, -122.35501)","(40.561832, -122.3569)","(40.466409, -122.33277)","(41.72874, -122.63768)",40.758299,40.530906,40.575795,40.561832,40.466409,41.72874,-124.14839,-122.37241,-122.35501,-122.3569,-122.33277,-122.63768,0.94890237,0.8156694,0.6997426,0.9586507,0.9586507,0.9054555,Safe,Safe,Risky,Safe,Safe,Safe,418.0,226.0,295.0,83.0,87.0,131.0,0.0,94.65148651048476,95.0626878707629,95.10651823401159,97.57236322294679,103.32406615965925
20,STEM Preparatory Elementary,Gabriella Charter 2,LA's Promise Charter High #1,ISANA Himalia Academy,Matrix for Success Academy,Equitas Academy 4,"(34.024325, -118.29966)","(34.0121, -118.26936)","(33.995341, -118.30851)","(33.996155, -118.27794)","(34.012475, -118.25769)","(34.062426, -118.28587)",34.024325,34.0121,33.995341,33.996155,34.012475,34.062426,-118.29966,-118.26936,-118.30851,-118.27794,-118.25769,-118.28587,0.9780172,0.96375686,0.9725681,0.9771896,0.9725681,0.94299734,Safe,Safe,Safe,Safe,Safe,Safe,147.0,126.0,56.0,615.0,26.0,76.0,0.0,1.9323868623380132,2.061268929843894,2.3073837098501646,2.5434812601891976,2.7426950029625115
21,Wonderful College Prep Academy - Lost Hills,Grimmway Academy Shafter,Heartland Charter,KIPP Valiant Community Prep,Lemoore Online College Preparatory High,Porterville Military Academy,"(35.612446, -119.68541)","(35.492594, -119.28506)","(35.36251, -119.06046)","(34.935346, -119.61483)","(36.290017, -119.82173)","(36.092398, -119.03781)",35.612446,35.492594,35.36251,34.935346,36.290017,36.092398,-119.68541,-119.28506,-119.06046,-119.61483,-119.82173,-119.03781,0.9580605,0.9662385,0.75177383,0.9586507,0.9771224,0.9540428,Safe,Safe,Risky,Safe,Safe,Safe,102.0,444.0,2849.0,225.0,14.0,162.0,0.0,24.021475732800585,39.22513086302564,46.84842233346055,47.33684177827887,49.155044903528086
22,Heartland Charter,Grimmway Academy Shafter,Wonderful College Prep Academy - Lost Hills,KIPP Valiant Community Prep,Porterville Military Academy,Blue Oak Academy,"(35.36251, -119.06046)","(35.492594, -119.28506)","(35.612446, -119.68541)","(34.935346, -119.61483)","(36.092398, -119.03781)","(36.298876, -119.24264)",35.36251,35.492594,35.612446,34.935346,36.092398,36.298876,-119.06046,-119.28506,-119.68541,-119.61483,-119.03781,-119.24264,0.75177383,0.9662385,0.9580605,0.9586507,0.9540428,0.9586507,Risky,Safe,Safe,Safe,Safe,Safe,2849.0,444.0,102.0,225.0,162.0,126.0,0.0,15.525587424119522,39.22513086302564,43.039504389519514,50.337209700539304,65.36277311058466
23,Grimmway Academy Shafter,Heartland Charter,Wonderful College Prep Academy - Lost Hills,KIPP Valiant Community Prep,Porterville Military Academy,Blue Oak Academy,"(35.492594, -119.28506)","(35.36251, -119.06046)","(35.612446, -119.68541)","(34.935346, -119.61483)","(36.092398, -119.03781)","(36.298876, -119.24264)",35.492594,35.36251,35.612446,34.935346,36.092398,36.298876,-119.28506,-119.06046,-119.68541,-119.61483,-119.03781,-119.24264,0.9662385,0.75177383,0.9580605,0.9586507,0.9540428,0.9586507,Safe,Risky,Safe,Safe,Safe,Safe,444.0,2849.0,102.0,225.0,162.0,126.0,0.0,15.525587424119522,24.021475732800585,42.7062015692553,43.62294644999885,55.64045030505567
24,Da Vinci RISE High,RISE High,WISH Community,WISH Academy High,Animo City of Champions Charter High,TEACH Preparatory Mildred S. Cunningham & Edith H. Morris Elementary,"(33.917773, -118.38398)","(33.908904, -118.37765)","(33.96779, -118.40387)","(33.957763, -118.42888)","(33.951586, -118.32505)","(33.960687, -118.30939)",33.917773,33.908904,33.96779,33.957763,33.951586,33.960687,-118.38398,-118.37765,-118.40387,-118.42888,-118.32505,-118.30939,0.94657284,0.8710464,0.9620292,0.94657284,0.9586507,0.95708424,Safe,Safe,Safe,Safe,Safe,Safe,132.0,66.0,739.0,74.0,164.0,80.0,0.0,0.7113160203710296,3.6317453409019693,3.7749220476376357,4.110072935385032,5.206613800463719
25,Hanford Online Charter,Kings Valley Academy II,Lemoore Online College Preparatory High,Sycamore Valley Academy,Global Learning Charter,Crescent Valley Public Charter II,"(36.333585, -119.66268)","(36.32633, -119.64964)","(36.290017, -119.82173)","(36.298371, -119.42088)","(36.353067, -119.30301)","(36.330444, -119.29169)",36.333585,36.32633,36.290017,36.298371,36.353067,36.330444,-119.66268,-119.64964,-119.82173,-119.42088,-119.30301,-119.29169,0.6418402,0.9459435,0.9771224,0.979431,0.9581269,0.8509858,Risky,Safe,Safe,Safe,Safe,Safe,2.0,692.0,14.0,378.0,367.0,384.0,0.0,0.8828986628572789,9.370175181334865,13.709344639929705,20.107758386255757,20.69840736861759
26,Lemoore Online College Preparatory High,Hanford Online Charter,Kings Valley Academy II,Sycamore Valley Academy,Global Learning Charter,Crescent Valley Public Charter II,"(36.290017, -119.82173)","(36.333585, -119.66268)","(36.32633, -119.64964)","(36.298371, -119.42088)","(36.353067, -119.30301)","(36.330444, -119.29169)",36.290017,36.333585,36.32633,36.298371,36.353067,36.330444,-119.82173,-119.66268,-119.64964,-119.42088,-119.30301,-119.29169,0.9771224,0.6418402,0.9459435,0.979431,0.9581269,0.8509858,Safe,Risky,Safe,Safe,Safe,Safe,14.0,2.0,692.0,378.0,367.0,384.0,0.0,9.370175181334865,9.924727703101432,22.38135810216217,29.2675511487247,29.709825193963702
27,Kings Valley Academy II,Hanford Online Charter,Lemoore Online College Preparatory High,Sycamore Valley Academy,Global Learning Charter,Crescent Valley Public Charter II,"(36.32633, -119.64964)","(36.333585, -119.66268)","(36.290017, -119.82173)","(36.298371, -119.42088)","(36.353067, -119.30301)","(36.330444, -119.29169)",36.32633,36.333585,36.290017,36.298371,36.353067,36.330444,-119.64964,-119.66268,-119.82173,-119.42088,-119.30301,-119.29169,0.9459435,0.6418402,0.9771224,0.979431,0.9581269,0.8509858,Safe,Risky,Safe,Safe,Safe,Safe,692.0,2.0,14.0,378.0,367.0,384.0,0.0,0.8828986628572789,9.924727703101432,12.910313084099029,19.424031399762818,19.972722798609308
28,Stella Elementary Charter Academy,STEM Preparatory Elementary,Crete Academy,LA's Promise Charter High #1,Learning by Design Charter,Equitas Academy 4,"(34.03156, -118.35235)","(34.024325, -118.29966)","(33.984498, -118.33126)","(33.995341, -118.30851)","(33.975705, -118.31802)","(34.062426, -118.28587)",34.03156,34.024325,33.984498,33.995341,33.975705,34.062426,-118.35235,-118.29966,-118.33126,-118.30851,-118.31802,-118.28587,0.9240052,0.9780172,0.980271,0.9725681,0.9750489,0.94299734,Safe,Safe,Safe,Safe,Safe,Safe,37.0,147.0,124.0,56.0,45.0,76.0,0.0,3.064535799900902,3.4622362474070365,3.5444798339992123,4.324811683747349,4.3673831521574575
